user_id,text_id,text,label,gender,age,language,grade_german,self_estimation_german,grade_math,career_path,school_type,field
1,13324,Es sind zwei Fächer zu wählen.,1,female,17,german,1,1,4,college,mixed,other
1,2946,"Die Biochemie (physiologische Chemie) erforscht die chemische Zusammensetzung pflanzlicher und tierischer Körper, die in ihnen ablaufenden chemischen Prozesse sowie die Veränderungen durch Krankheiten.",4,female,17,german,1,1,4,college,mixed,other
1,4446,Ein Vollstudium der Architektur ist in Hamburg auch an der Hochschule für bildende Künste möglich.,1,female,17,german,1,1,4,college,mixed,other
1,10204,"Dabei gibt es vor allem mit Verfahrenstechnik/Chemieingenieurwesen (6.64) zahlreiche Berührungspunkte und Überschneidungen, ebenso auch mit der Fertigungstechnik (6.31).",2,female,17,german,1,1,4,college,mixed,other
1,16360,"Die Kunststofftechnik befasst sich mit der Herstellung, Verarbeitung und Anwendung von Kunststoffen (einschließlich dem Gummirohstoff Kautschuk) und den dabei benutzten Maschinen und Geräten.",1,female,17,german,1,1,4,college,mixed,other
1,16072,Im Fachhochschulsektor liegt der Hauptanteil mit 31 % bei der Landespflege/Landschaftsarchitektur und Landschaftsgestaltung.,3,female,17,german,1,1,4,college,mixed,other
1,14998,"Lehrangebote gibt es darüber hinaus auch in bestimmten Fächern der Lehrerausbildung und der Erziehungswissenschaften, wie z.B. Medienpädagogik.",2,female,17,german,1,1,4,college,mixed,other
1,2254,Bei der Wahl der Fächerkombinationen kann Sozialkunde nicht mit Geschichte oder Erdkunde verbunden werden.,1,female,17,german,1,1,4,college,mixed,other
1,21044,Speziell geht es hier um die Auswirkungen menschlichen Tuns auf die Natur und wie Schäden vermieden bzw. behoben werden können.,1,female,17,german,1,1,4,college,mixed,other
1,2384,"Diese Aufgabe ist umfangreich und schwierig, denn moderne Seeschiffe sind praktisch schwimmende Kraftwerke.",2,female,17,german,1,1,4,college,mixed,other
1,7349,Bei Mißerfolg kann des Kontrollverfahren innerhalb eines Jahres einmal wiederholt werden.,1,female,17,german,1,1,4,college,mixed,other
1,21023,"Sie beleuchtet sein Denken und seine Stellung in der Welt, hinterfragt sein Handeln und diskutiert seine Probleme.",3,female,17,german,1,1,4,college,mixed,other
1,2504,Der Fachhochschulabsolvent in Schiffsbetriebstechnik beginnt regelmäßig als II. oder III. Ingenieur an Bord.,1,female,17,german,1,1,4,college,mixed,other
